participant,version,group,country,eye_tracked,vision,DELE ,age,parents_lang,education,gender,handed,AoA_L2,age_fluent_L2,other_lang,mo_ES_country,l1_school,l2_school,expos_baby,expos_child,expos_adult,percent_l1_week,percent_l2_week,sports,sport_length,sport_pro,music,music_length,music_pro,drive,drive_length,WM_set,WM_word_order
IES18,2,ies,us,right,normal,39,32,yes,phd,male,right,15,25,"Portuguese, French, Catalan, Italian",30,"E., M., H., U.",no,"English, Portuguese","English, Portuguese, Spanish","English, Portuguese, Spanish, Catalan, French, Italian",60,40,"crossfit, karate, running, yoga","cf 1, kt 5, rn 8, yo 6",no,"piano, trombon","pn 1, tr 4",no,yes,"17 (no conduce, antes sí)",10,
IES19,3,ies,au,left,normal,27,30,yes,undergrad,female,right,19,30,no,7,"E., M., H., U.",U.,English,English,"English, Spanish, Italian, Catalan",10,90,no,no,no,"sing, piano","sn 4, pn 1",no,yes,11 (no conduce),8,
IES20,4,ies,us,left,contacts,30,23,yes,undergrad,female,right,14,22,no,12,"E., M., H., U.",no,English,English,"English, Spanish, Catalan",80,20,basketball,10,no,violin,5,no,yes,6,7,
IES21,1,ies,uk,right,normal,35,27,yes,undergrad,female,right,16,23,no,2.5,"E., M., H., U.",U.,English,"English, French","English, French, Spanish, Catalan",80,20,running,5,no,"piano, guitar","pn 3, gt 1.5",no,yes,7,11,
IES22,2,ies,us,right,glasses,36,24,yes,undergrad,female,right,22,23,French,10,"E., M., H., U.",no,"English, Urdu","English, Urdu","English, Urdu, French, Spanish, Catalan",70,30,"climbing, biking, soccer, softball, crosscountry, running","cl 1.5, bk 7, so 5, sb 2, cc 2, rn 3",no,sing,6,no,yes,2,8,
IES23,3,ies,uk,right,contacts,36,21,yes,undergrad,female,right,12,14,no,10,"E., M., H., U.",U.,English,"English, Spanish, French","English, Spanish, French",50,50,"hockey, gym","hk 8, gy 4",no,"piano, trumpet","pn 17, tr 11",no,yes,3,11,
IES24,4,ies,bh,right,normal,25,30,yes,master,female,right,9,22,Italian,48,"E., M., H., U.",U.,English,"English, Spanish, German","English, Spanish, German, Italian, Catalan",50,50,"swimming, tracking","sw 7, tr 6",semiprofessional (swimming),violin,2,no,yes,12 (no conduce),5,
IES25,1,ies,uk,right,normal,26,23,yes,undergrad,female,right,19,22,no,48,"E., M., H., U.",no,"English, Persian","English, Persian, French, German","English, Persian, French, Spanish, Catalan",80,20,"gym, tennis, rugby, marcial arts, volleyball","gy 15, tn 10, rg 8, ma 9,  vl 3",no,piano,19,no,yes,5 (no conduce),5,
IES26,2,ies,uk,right,normal,33,35,yes,undergrad,female,right,30,34,no,34,"E., M., H., U.",no,English,English,"English, French, Spanish, Catalan",85,15,"biking, tennis, trampolining, swimming","bk 2, tn 8, tr 5, sw 10",no,"sing, piano, guitar, harmonica, saxo","sg 19, pn 23, gt desde 21, hr 10, sx 9",yes,yes,10,7,
IES27,3,ies,uk,right,normal,32,24,yes,undergrad,female,right,23,24,no,14,"E., M., H., U.",no,English,English,"English, Spanish, German",90,10,"running, netball","rn 2, nt 10",no,piano,5,no,yes,6 (no conduce),5,
IES28,4,ies,us,right,normal,27,24,yes,undergrad,female,right,22,24,"Catalan, Japonés",24,"E., M., H., U.",no,English,English,"English, Japanese, Spanish, Catalan, French, Mandarin",90,10,quidditch,4,no,sing,4,no,yes,7 (no conduce),7,
IES29,1,ies,uk,right,normal,26,33,yes,master,female,right,29,32,no,48,"E., M., H., U.",no,English,"English, French","English, Spanish, Catalan, French",85,15,"running, swimming, yoga, cycling","rn 7, sw 25, yg 10, cy .5",no,guitar,3,no,yes,15,5,
IES30,2,ies,uk,right,normal,27,29,yes,undergrad,male,right,26,28,French,48,"E., M., H., U.",no,English,"English, French","English, French, German, Spanish, Catalan",90,10,"soccer, cricket, golf","sc 15, cr 3, gf 5",no,"guitar, bass guitar","gt 15, bs 10",no,yes,9 (no conduce),11,
IES31,3,ies,uk,right,normal,33,33,yes,undergrad,male,right,27,28,no,72,"E., M., H., U.",no,English,English,"English, Spanish, Catalan",80,20,"soccer, cycling, swimming, hockey","sc 30, cy 30, sw 11, hk 5",no,no,no,no,yes,15,5,
IES32,4,ies,uk,right,glasses,31,30,yes,master,male,right,13,25,no,72,"E., M., H., U.",no,English,English,"English, Spanish, Catalan",80,20,"soccer, cricket, rugby, hockey, esgrima","sc 10, cr 10, rg 2, hk 1, es 1",no,guitar,2,no,no,no,10,
IES33,1,ies,us,left,glasses,36,30,yes,master,male,right,12,23,Norwegian,54,"E., M., H., U.",no,English,English,"English, Spanish, Norwegian, Catalan",50,50,"golf, cycling, soccer, baseball, football","gf 20, cy 25, sc 15, bs 12, fb 4",no,"clarinet, oboe","cl 2, ob 7",no,yes,15 (no conduce),11,
AES01,3,aes,au,right,normal,42,38,yes,undegrad,male,right,27,30,Portuguese,120,"E., M., H., U.",no,english,english,"english, spanish, portuguese",90,10,"swimming, trekking, martial arts","30, trk 30, am 7",no,"guitar, bass, drums",25,yes,yes,17 (no conduce desde hace 5 años),11,53
AES02,4,aes,us,right,contacts,44,23,yes,undergrad,female,right,14,21,no,24,"E., M., H., U.",U.,english,english,"english, spanish",70,30,tennis,12,no,piano,10,no,yes,7 (no conduce desde hace 2 años),9,49
AES03,1,aes,uk,right,glasses,49,23,yes,undergrad,female,right,5,18,no,10,"E., M., H., U.",U.,english,"english, spanish","english, spanish, french",80,20,"gymnastics, climbing, ice skating","gym 5, cl 4, is 6",no,piano,10,no,yes,7 (no conduce),12,54
AES04,2,aes,us,right,contacts,48,25,yes,undergrad,female,right,19,20,no,12,"E., M., H., U.",no,english,"english, spanish","english, spanish",70,30,horse backriding,8,no,"flute, guitar",10,no,yes,6 (no conduce),12,54
AES05,3,aes,us,right,normal,42,22,yes,undergrad,female,right,13,19,no,8,"E., M., H., U.",U.,english,english,"english, spanish, arabic",50,50,no,no,no,"dance, violin","13, vl 11",yes,yes,5 (no conduce),11,53
AES06,4,aes,us,right,contacts,49,36,yes,master,female,right,19,21,no,86,"E., M., H., U.",U.,english,"english, russian","english, french, spanish",40,60,no,no,no,"dance, sing",33,no,yes,19 (no conduce),7,46
AES07,1,aes,us,right,normal,41,25,yes,undergrad,male,right,12,21,no,40,"E., M., H., U.",U.,english,english,"english, spanish",65,35,"soccer, baseball, athletics, football","5, bb 8, ath 5, ft 5",no,no,no,no,yes,9 (no conduce),11,52
AES08,2,aes,uk,right,normal,40,25,yes,undergrad,female,right,13,19,French,30,"E., M., H., U.",U.,english,"english, french","english, french, spanish",80,20,"basketball, swimming","bb 3, sw 6",no,"piano, guitar, violin, viola","piano 21, violin 17, guitar 15, viola 9",yes,yes,6 (no conduce),10,52
AES09,3,aes,uk,right,glasses,54,26,yes,undergrad,female,right,14,16,no,17,"E., M., H., U.",U.,english,english,"english, spanish",60,40,no,no,no,"dance, trumpet, flute","dn 5, ins 3",no,no,na,7,45
AES10,4,aes,us,right,normal,45,27,yes,master,male,right,14,18,Italian,36,"E., M., H., U.",U.,english,english,"english, spanish, italian",60,40,athletics,1,no,piano,2,no,yes,10 (no conduce),10,52
AES11,1,aes,uk,right,normal,40,22,yes,undergrad,male,right,12,18,French,12,"E., M., H., U.",no,english,"english, french","english, spanish, french",40,60,no,no,no,"dance, clarinet, saxophone","dance 7, ins 10",no,no,na,11,53
AES12,2,aes,us,right,normal,53,26,yes,undergrad,male,right,11,19,no,16,"E., M., H., U.",U.,english,english,"english, spanish, turkish",50,50,taekwondo,5,no,no,no,no,yes,11 (no conduce),5,42
AES13,3,aes,uk,left,glasses,43,29,yes,master,female,right,12,19,French,72,"E., M., H., U.",U.,english,"english, french","english, spanish, french",50,50,no,no,no,no,no,no,no,no,9,49
AES14,4,aes,uk,right,contacts,48,29,yes,master,female,right,12,18,no,78,"E., M., H., U.",U.,english,"english, mandarin","english, spanish, mandarin, cantonese",80,20,no,no,no,"dance, piano, oboe","dn 17, ob 9, pn 11",yes,yes,11 (no conduce),11,53
AES15,1,aes,nz,right,normal,48,34,yes,undergrad,female,right,15,20,"French, Portuguese",28,"E., M., H., U.",U.,english,"english, maori","english, spanish, french, portuguese, italian",60,40,no,no,no,no,no,no,no,no,5,40
AES16,2,aes,uk,right,normal,43,28,yes,undergrad,female,right,11,19,French,89,"E., M., H., U.",U.,english,english,"english, spanish, french",65,30,ultimate frisbee,10,no,violin,5,no,no,no,12,54
AES17,3,aes,us,left,glasses,47,22,yes,undergrad,female,right,15,21,no,54,"E., M., H., U.",U.,english,english,"english, spanish",70,30,"volleyball, basketball","vb 3, bb 2",no,sing,6,no,yes,6 (no conduce),8,46
AES18,4,aes,us,right,contacts,42,28,yes,phd,male,right,20,24,no,66,"E., M., H., U.",no,english,english,"english, spanish",50,50,ice hockey,17,no,no,no,no,yes,11 (no conduce),9,46
AES19,1,aes,ca,right,contacts,48,27,yes,undergrad,female,right,16,22,French,54,"E., M., H., U.",U.,english,english,"english, spanish, french",50,50,"soccer, running, yoga, volleyball, tennis","sc 15, rn 3, yg 3, vb 3, tn 2",no,sing,5,no,yes,12 (no conduce),10,49
AES20,2,aes,us,right,normal,47,27,yes,master,female,right,18,21,no,72,"E., M., H., U.",U.,"english, french","english, french","english, spanish, catalan, french",50,50,"soccer, basketball","sc 1, bb 2",no,"clarinet, dance","cl 3, dn 10",no,yes,11 (no conduce),10,51
AES21,3,aes,us,right,normal,46,23,yes,undergrad,female,right,13,20,no,45,"E., M., H., U.",U.,english,english,"english, spanish, french",80,20,"soccer, basketball, swimming","sc 8, bb 4, sw 4",no,clarinet,4,no,yes,7 (no conduce),9,48
AES22,4,aes,uk,right,normal,40,20,yes,undergrad,female,right,13,17,no,7,"E., M., H., U.",U.,english,english,"english, spanish, french",80,20,"yoga, basketball, skiing, netol",7-8 (all),no,"piano, violin, sing",8,no,yes,3,10,
AES23,1,aes,uk,left,without glasses,55,21,yes,undergrad,male,right,13,16,French,7,"E., M., H., U.",U.,english,english,"english, spanish, french, catalan",50,50,no,no,no,"piano, violin",10,no,no,no,12,
AES24,2,aes,au,right,glasses,53,32,yes,phd,female,right,19,21,"French, Catalan",108,"E., M., H., U.",U.,english,english,"english, spanish, french, catalan",50,50,"yoga, swimming, footing, football, netball, cirqus","yg 15, sw 3, rn 5, fb 1, nt 2, cq 1",no,no,no,no,yes,15 (no conduce),8,
AES25,3,aes,us,left,glasses,41,33,yes,undergrad,female,right,14,21,Catalan,168,"E., M., H., U.",U.,english,english,"english, spanish, catalan",30,70,"skiing, football","sk 13, fb 4",no,"piano, clarinete, oboe","pn 12, cl 6, ob 0.5",no,yes,17 (no conduce),8,
AES26,1,aes,uk,right,contacts,44,21,yes,undergrad,female,right,12,15,no,10,"E., M., H., U.",no,english,"english, french","english, spanish, catalan",50,50,"hockey, netball","hk 8, nb 4",no,chelo,14,no,yes,3 (no conduce),10,
AES27,4,aes,uk,right,normal,45,35,yes,master,female,right,14,25,no,96,"E., M., H., U.",U.,english,english,"english, spanish, french, catalan",50,50,gym,5,no,guitar,5,no,no,no,9,
AES28,2,aes,uk,,contacts,41,31,yes,master,female,right,14,29,no,24,"E., M., H., U.",no,english,english,"english, spanish",80,20,"dancing, gym, biking, personal trainer","dn 15, gy 12, bk 2, pt 2",yes,"sing, piano, violin, recorder, saxo","sg 25, pn 6, vn 5, rc 7, sx 0.5",no,no,no,11,
AES29,3,aes,us,left,glasses,45,33,yes,phd,male,right,14,29,"Danish, Greek, Catalan",48,"E., M., H., U.",no,english,english,"english, spanish, danish, greek, catalan",80,20,"running, boxing, wrestling","rn 20, bx 0.5, wr 4",no,no,no,no,yes,17 (no conduce),11,
AES30,4,aes,uk,right,normal,47,26,yes,undergrad,female,right,20,22,no,72,"E., M., H., U.",no,english,english,"english, spanish, catalan",50,50,"biking, running","bk 20, rn 3",no,"guitar, piano","gt 14, pn 14 ",no,no,no,9,
AES31,1,aes,us,right,contacts,43,31,yes,undergrad,female,right,26,27,French,54,"E., M., H., U.",no,english,"english, french","english, french, spanish, catalan",40,60,"triatlon, swimming, remo","tr 4, sw 15, rm 4",no,"piano, violin","pn 8, vl 5",no,yes,15 (no conduce),5,
AES32,2,aes,uk,right,normal,41,31,yes,master,female,right,18,21,"French, Italian, Catalan",78,"E., M., H., U.",U.,english,"english, french","english, french, german, spanish, italiano, catalan",90,10,"swimming, football, biking","sw 20, fb 9, bk 5",no,"sing, guitar, ukelele, flute","sg 20, gt 15, uk 6, fl 4",no,yes,13,8,
MON01,1,mon,es,right,glasses,na,19,yes,undergrad,female,right,3,na,no,0,"E., M., H., U.",U.,spanish,"spanish, english","spanish, english",5,95,"swimming, tennis","tennis 5 years, swimming 2 years",no,"guitar, dance","guitar 2 years, dance 7 years",no,no,na,8,42
MON02,2,mon,es,right,normal,na,18,yes,high school,female,right,3,na,no,0,"E., M., H.",M.,spanish,"spanish, english","spanish, english",35,65,"swimming, krav maga",1 each,no,sing,1,no,no,na,9,47
MON03,3,mon,es,right,contacts,na,32,yes,FP,male,right,6,na,no,0,"E., M., H., U.",no,spanish,"spanish, english","spanish, english",10,90,"swimming, socer, basketball, bike, padel","baske 5, soccer 7, padel 1, swimming 5",no,no,no,no,yes,13,10,52
MON04,4,mon,es,right,contacts,na,34,yes,undergrad,female,right,5,na,no,0,"E., M., H., U.",no,spanish,"spanish, english","spanish, english",5,95,"swimming, football, ballet","football 8, swimming 3, ballet 3",8 football,dance,7,no,yes,4 (no conduce),1,21
MON05,1,mon,es,right,normal,na,19,yes,HS,male,right,4,na,no,0,"E., M., H.",no,spanish,"spanish, english","spanish, english",0,100,"soccer, taekwondo, boxeo, krav maga","1 year each, taekowndo 2",no,no,no,no,no,na,4,28
MON06,2,mon,es,right,normal,na,19,yes,HS,female,right,12,na,no,0,"E., M., H.",no,spanish,"spanish, english","spanish, english, french",20,80,"basketball, volleyball","basket 5, volley 2",yes,no,no,no,no,na,5,40
MON07,3,mon,es,right,glasses,na,27,yes,undergrad,female,right,6,na,no,0,"E., M., H., U.",no,spanish,"spanish, english","spanish, english, portuguese",0,100,no,0,no,"dance, piano","8, 10","no, yes",no,na,5,38
MON08,4,mon,es,right,normal,na,18,yes,undergrad,female,right,6,na,no,0,"E., M., H., U.",no,spanish,"spanish, english","spanish, english",10,80,"volleyball, tennis","volleyball0,5tennis6",no,ukelele,1 mes,no,no,na,5,45
MON09,1,mon,es,right,contacts,na,18,yes,undergrad,male,right,3,na,French,0,"E., M., H., U.",no,spanish,"spanish, english, french","spanish, english, french",15,85,"swimming, judo","judo 3 years, swimming 2",no,no,no,no,no,na,9,47
MON10,2,mon,es,right,normal,na,32,yes,FP,female,right,8,na,no,0,"E., M., H., U.",no,spanish,"spanihs, english","spanish, english, french",5,95,"bike, running",1 each,no,no,no,no,yes,14,5,32
MON11,3,mon,es,right,normal,na,18,yes,undergrad,female,right,12,na,no,0,"E., M., H., U.",M.,spanish,spanish,"spanish, english, french",25,75,"basketball, atletismo","basket 3, atletismo 1.5",no,"guitar, piano, bass, ukelele","4.5, 2, 2, 3",no,no,na,4,35
MON12,4,mon,es,left,glasses,na,29,yes,master,male,right,8,na,no,0,"E., M., H., U.",U.,spanish,"spanish, english","spanish, english, french",20,80,biking,2,no,no,no,no,yes,11 (no conduce),10,52
MON13,1,mon,es,right,contacts,na,28,yes,undergrad,female,right,2,na,no,0,"E., M., H., U.",U.,spanish,"spanish, english","spanish, english, french",20,80,swimming,3,no,no,no,no,yes,4,9,46
MON14,2,mon,es,right,normal,na,28,yes,undergrad,male,right,4,na,no,0,"E., M., H., U.",U.,spanish,"spanish, english","spanish, english, french",20,80,"judo, basketball","2, 3",no,guitar,10,no,yes,10,9,51
MON15,3,mon,es,right,glasses,na,18,yes,FP,female,right,3,na,no,0,"E., M., H., U.",no,spanish,"spanish, english","spanish, english",5,95,"soccer, boxing","1, 1",no,no,no,no,no,na,7,38
MON16,4,mon,es,right,normal,na,18,yes,undergrad,female,right,5,na,no,0,"E., M., H., U.",no,spanish,"spanish, english","spanish, english",0,100,padel,3,no,ukelele,1,no,no,na,4,30
MON17,1,mon,es,right,normal,na,28,yes,oposiciones,male,right,3,na,no,0,"E., M., H., U.",no,spanish,"spanish, english","spanish, english",5,95,"swimming, basketball","1.5, 3",no,"saxophone, solfeo, dance","2, 3, 6",no,yes,9,9,50
MON18,2,mon,es,left,contacts,na,28,yes,undergrad,male,right,6,na,no,0,"E., M., H., U.",U.,spanish,"spanish, english","spanish, english",5,95,judo,10,no,no,na,no,yes,9,4,37
MON19,3,mon,es,right,normal,na,18,yes,undergrad,female,right,5,na,no,0,"E., M., H., U.",no,spanish,"spanish, english","spanish, english",10,90,volleyball,1,no,dance,11,no,no,na,8,47
MON20,4,mon,es,right,glasses,na,21,yes,undergrad,female,right,5,na,no,0,"E., M., H., U.",U.,spanish,"spanish, english","spanish, english",5,95,soccer,1.5,no,no,no,no,no,na,1,30
MON21,1,mon,es,left,glasses,na,30,yes,FP,female,right,3,na,no,0,"E., M., H., U.",U.,spanish,"spanish, english","spanish, english",10,90,swimming,5,no,no,no,no,yes,10 (no conduce),3,32
MON22,2,mon,es,right,normal,na,25,yes,master,male,right,6,na,no,9,"E., M., H., U.",H.,spanish,"spanish, english","spanish, english, french",30,70,"soccer, muay thai, krav maga, tennis, running","soc 7, mt 1.5, km 2, tennis 2, run 12",no,no,no,no,yes,3,8,50
MON23,3,mon,es,right,normal,na,42,yes,undergrad,female,right,40,na,Italian,0,"E., M., H., U.",U.,spanish,spanish,"spanish, english, italian",20,80,volleyball,4,no,no,no,no,no,na,4,35
MON24,4,mon,es,right,contacts,na,18,yes,undergrad,female,right,6,na,no,0,"E., M., H., U.",no,spanish,"spanihs, english","spanish, english, catalonian",5,95,"skating, volleyball, badmington","sk 5, vb 2, bd 3",no,dance,6,no,no,na,3,40
MON25,1,mon,es,right,glasses,na,19,yes,FP,male,right,6,na,no,0,"E., M., H., U.",no,spanish,"spanish, english","spanish, english",15,85,soccer,8,yes,no,no,no,no,no,6,41
MON26,2,mon,es,right,normal,na,45,yes,bachillerato,female,right,11,na,no,0,"E., M., H.",no,spanish,spanish,"spanish, english",5,95,"rhythmic gym, basketball, soccer, volleyball, athletics","rg 6, bk 8, s 10, vb 1.5, ath 3",yes,piano,8,no,yes,12,5,42
MON27,3,mon,es,right,normal,na,43,yes,bachillerato,male,left,12,na,no,0,"E., M., H.",no,spanish,spanish,"spanish, english",0,100,cycling,14,no,dancing,1.5,no,yes,18,4,41
MON28,4,mon,es,right,normal,na,45,yes,bachillerato,female,right,7,na,no,0,"E., M., H.",no,spanish,"spanish, english","spanish, english",10,90,swimming,10,no,no,no,no,yes,27,10,51
MON29,1,mon,es,right,glasses,na,30,yes,undergrad,female,right,5,na,no,0,"E., M., H., U.",no,spanish,"spanish, english","spanish, english, french",2,98,no,no,no,dancing,4,no,yes,10,8,46
MON30,2,mon,es,right,normal,na,18,yes,undergrad,female,right,6,na,no,0,"E., M., H., U.",U.,spanish,"spanish, english","spanish, english, french",5,95,padel,"padel 2, sw 2",no,dance,6,no,no,na,9,51
IMS01,3,ims,ch,right,glasses,39,22,yes,master,female,right,18,21,Japanese,30,"E., M., H., U.",U.,Mandarin,"Mandarin, English","Mandarin, Spanish, Japanese, English",50,50,cycling,15,no,no,no,no,no,na,6,45
IMS02,4,ims,ch,right,normal,29,34,yes,master,female,right,30,33,English,60,"E., M., H., U.",U.,"Mandarin, Cantonese","Mandarin, Cantonese, nglish","Mandarin, cantonese, english, spanish",50,50,"volleyball, swimming, badmington","vb 10, bd 10, sw 6",yes,no,no,no,no,na,4,37
IMS03,1,ims,ch,right,contacts,36,25,yes,master,female,right,14,15,no,129,"E., M.","H., U.","Mandarin, Wenzhou","Mandarin, wenzhou, English","Mandarin, wenzhou, English, Spanish",65,35,"badmington, volleyball, running, swimming",12,no,"horizontal harp, chinese dance","dn 11, hh 6",yes,yes,6,5,36
IMS04,2,ims,ch,right,normal,38,23,yes,master,male,right,21,22,English,6,"E., M., H., U.",U.,Mandarin,"Mandarin, English","Mandarin, Spanish, English, German, Russian, French",30,70,running,8,no,dance,2,no,yes,5 (no conduce),9,50
IMS05,3,ims,ch,right,normal,28,24,yes,undergrad,male,right,18,19,"English, Wu",60,"E., M., H.",U.,"Mandarin, Wu","Mandarin, Wu, English","Mandarin, Wu, English, Spanish",80,20,badmington,0.5,no,flute,4,no,no,na,9,50
IMS06,4,ims,ch,right,normal,34,26,yes,master,male,right,19,21,English,84,"E., M., H.",U.,"Mandarin, Wenzhou, Zhoushan","Mandarin, English, Wenzhou, Zhoushan","Mandarin, English, Wenzhou, Zhoushan, Spanish, French",30,70,"swimming, badmington, tennis","tn 1, bm 3, sw 2",no,guitar,2,no,no,na,8,49
IMS07,1,ims,ch,right,contacts,30,24,yes,master,female,right,19,22,English,12,"E., M., H., U.",U.,Mandarin,"Mandarin, English","Mandarin, English, Spanish",80,20,"running, weight lifting, badmington","bm 2, rn wl 2",no,no,no,no,yes,1 (no conduce),8,44
IMS08,2,ims,ch,left,glasses,30,23,yes,undergrad,female,right,18,21,"English, Sezchuan Chinese",60,"E., M., H.",U.,"Mandarin, Sezchuan","Mandarin, English, Sezchuan","Mandarin, Spanish, English, Sezchuan, French",50,50,no,no,no,"piano, dance","pn 13, dn 7",no,no,na,8,50
IMS09,3,ims,ch,left,contacts,38,19,yes,undergrad,female,right,18,18,English,12,"E., M., H.",U.,Mandarin,"Mandarin, English","Mandarin, English, Spanish, Japanese",35,65,no,no,no,no,no,no,no,na,5,45
IMS10,4,ims,ch,right,normal,34,24,yes,master,female,right,19,23,"English, Shijiazhuang",18,"E., M., H., U.",U.,"Mandarin, Shijiazhuang","Mandarin, English, Shijiazhuang","Mandarin, Spanish, Shijiazhuang, English",80,20,"running, yoga","yg 3, rn 10",no,horizontal harp,10,no,yes,5 (no conduce),12,54
IMS11,1,ims,ch,right,contacts,30,32,yes,phd,female,right,23,30,"English, Qujing",108,"E., M., H., U.",U.,"Mandarin, Qujing","Mandarin, Qujing, English","Mandarin, Qujing, English, Spanish, Japanese, Korean",30,70,"weight lifting, running, jump",3,no,dance,3,no,yes,13 (no conduce),7,46
IMS12,2,ims,ch,left,glasses,25,24,yes,undergrad,female,right,20,22,"English, Changsha",29,"E., M., H.",U.,"Mandarin, Changsha","Mandarin, Changsha, English","Mandarin, Changsha, English, Spanish",50,50,"swimming, skiing, tennis","sw 1.5, sk 4",no,ukelele,4,no,no,na,4,37
IMS13,3,ims,ch,left,glasses,36,21,yes,undergrad,female,right,18,18,"English, Guilin",7,"E., M., H., U.",U.,"Mandarin, Guilin","Mandarin, Guilin, English","Mandarin, Guilin, English, Spanish, Korean",50,50,"running, badmington, ping pong","rn 10, bd 10, pp 5, sc 3",no,dance,6,yes,no,na,11,52
IMS14,4,ims,ch,right,normal,39,27,yes,phd,female,right,19,24,English,36,"E., M., H., U.",U.,Mandarin,"Mandarin, English","Mandarin, English, Spanish",50,50,"gym, badmington","gm 1.5, bd 6",no,violin,9,yes,no,na,6,47
IMS15,1,ims,ch,right,glasses,32,20,yes,undergrad,female,right,18,19,"English, Xian",24,"E., M., H.",U.,Mandarin,"Mandarin, English, Xian","Mandarin, English, Spanish, Xian, French",65,35,"badmington, running","bd 6, rn 2",yes,pipa,5,yes,no,na,10,52
